2022/4/7,16:26:21,采样间隔:,0.1 s,,,,,
1.06E-05,97.73,1.999585,3.40E-06,1.00E-05,71.257,1111,1.37E-07,301.288208
1.06E-05,97.66,1.999585,3.43E-06,1.00E-05,71.069,1111,1.37E-07,301.288208
1.05E-05,97.66,1.999799,3.39E-06,9.93E-06,71.135,1111,1.37E-07,301.32776
1.05E-05,97.66,1.999799,3.35E-06,9.92E-06,71.336,1111,1.37E-07,301.32776
1.05E-05,97.66,1.999799,3.34E-06,9.91E-06,71.391,1111,1.38E-07,301.32776
1.05E-05,97.59,1.999799,3.35E-06,9.92E-06,71.338,1111,1.39E-07,301.32776
1.05E-05,97.59,1.999799,3.35E-06,9.99E-06,71.447,1111,1.40E-07,301.32776
1.06E-05,97.59,2.008703,3.31E-06,1.00E-05,71.712,1111,1.41E-07,301.364932
1.06E-05,97.56,2.008703,3.31E-06,1.00E-05,71.725,1111,1.42E-07,301.364932
1.06E-05,97.56,2.008703,3.35E-06,1.00E-05,71.553,1111,1.43E-07,301.364932
1.06E-05,97.56,2.008703,3.36E-06,1.00E-05,71.512,1111,1.43E-07,301.364932
1.05E-05,97.49,2.008703,3.32E-06,1.00E-05,71.615,1111,1.44E-07,301.364932
1.05E-05,97.49,2.014929,3.35E-06,9.94E-06,71.361,1111,1.44E-07,301.401509
1.05E-05,97.49,2.014929,3.45E-06,9.90E-06,70.776,1111,1.44E-07,301.401509
1.05E-05,97.46,2.014929,3.54E-06,9.93E-06,70.368,1111,1.44E-07,301.401509
1.05E-05,97.46,2.014929,3.56E-06,9.93E-06,70.285,1111,1.44E-07,301.401509
1.05E-05,97.46,2.014929,3.50E-06,9.91E-06,70.545,1111,1.44E-07,301.401509
1.05E-05,97.4,2.024881,3.43E-06,9.89E-06,70.853,1111,1.43E-07,301.441953
1.05E-05,97.4,2.024881,3.42E-06,9.88E-06,70.895,1111,1.43E-07,301.441953
1.04E-05,97.4,2.024881,3.44E-06,9.85E-06,70.734,1111,1.42E-07,301.441953
1.04E-05,97.36,2.024881,3.45E-06,9.86E-06,70.694,1111,1.41E-07,301.441953
1.04E-05,97.36,2.024881,3.45E-06,9.86E-06,70.727,1111,1.41E-07,301.481206
1.05E-05,97.36,2.012672,3.41E-06,9.92E-06,71.022,1111,1.41E-07,301.481206
1.05E-05,97.3,2.012672,3.37E-06,9.89E-06,71.176,1111,1.40E-07,301.481206
1.04E-05,97.3,2.012672,3.32E-06,9.82E-06,71.316,1111,1.41E-07,301.481206
1.04E-05,97.3,2.012672,3.24E-06,9.83E-06,71.748,1111,1.42E-07,301.481206
1.04E-05,97.27,2.012672,3.22E-06,9.87E-06,71.938,1111,1.43E-07,301.519568
1.04E-05,97.27,1.991746,3.30E-06,9.88E-06,71.556,1111,1.44E-07,301.519568
1.05E-05,97.27,1.991746,3.38E-06,9.89E-06,71.143,1111,1.45E-07,301.519568
1.04E-05,97.21,1.991746,3.45E-06,9.85E-06,70.694,1111,1.45E-07,301.519568
1.04E-05,97.21,1.991746,3.51E-06,9.83E-06,70.325,1111,1.44E-07,301.519568
1.05E-05,97.21,1.991746,3.53E-06,9.87E-06,70.326,1111,1.44E-07,301.554659
1.05E-05,97.14,1.976493,3.51E-06,9.91E-06,70.495,1111,1.44E-07,301.554659
1.05E-05,97.14,1.976493,3.52E-06,9.92E-06,70.489,1111,1.44E-07,301.554659
1.05E-05,97.14,1.976493,3.44E-06,9.90E-06,70.821,1111,1.43E-07,301.554659
1.04E-05,97.14,1.976493,3.34E-06,9.87E-06,71.298,1111,1.43E-07,301.596589
1.04E-05,97.11,1.976493,3.31E-06,9.84E-06,71.423,1111,1.43E-07,301.596589
1.04E-05,97.11,1.979818,3.29E-06,9.84E-06,71.521,1111,1.43E-07,301.596589
1.04E-05,97.05,1.979818,3.26E-06,9.83E-06,71.637,1111,1.43E-07,301.596589
1.03E-05,97.05,1.979818,3.24E-06,9.80E-06,71.73,1111,1.43E-07,301.596589
1.03E-05,97.05,1.979818,3.20E-06,9.83E-06,71.941,1111,1.43E-07,301.632274
1.04E-05,97.05,1.979818,3.25E-06,9.83E-06,71.714,1111,1.44E-07,301.632274
1.04E-05,97.02,1.97345,3.33E-06,9.81E-06,71.225,1111,1.43E-07,301.632274
1.04E-05,97.02,1.97345,3.38E-06,9.79E-06,70.941,1111,1.42E-07,301.632274
1.04E-05,97.02,1.97345,3.40E-06,9.81E-06,70.872,1111,1.42E-07,301.632274
1.04E-05,96.96,1.97345,3.38E-06,9.81E-06,70.985,1111,1.41E-07,301.668554
1.04E-05,96.96,1.97345,3.36E-06,9.83E-06,71.131,1111,1.41E-07,301.668554
1.04E-05,96.96,1.983905,3.34E-06,9.84E-06,71.267,1111,1.41E-07,301.668554
1.05E-05,96.93,1.983905,3.33E-06,9.91E-06,71.451,1111,1.40E-07,301.668554
1.05E-05,96.93,1.983905,3.32E-06,9.98E-06,71.573,1111,1.40E-07,301.703348
1.05E-05,96.93,1.983905,3.36E-06,9.98E-06,71.412,1111,1.38E-07,301.703348
1.05E-05,96.87,1.983905,3.39E-06,9.92E-06,71.129,1111,1.37E-07,301.703348
1.04E-05,96.87,1.979213,3.41E-06,9.85E-06,70.89,1111,1.34E-07,301.703348
1.04E-05,96.87,1.979213,3.46E-06,9.79E-06,70.56,1111,1.33E-07,301.703348
1.03E-05,96.82,1.979213,3.48E-06,9.72E-06,70.299,1111,1.33E-07,301.740222
1.03E-05,96.82,1.979213,3.45E-06,9.69E-06,70.396,1111,1.31E-07,301.740222
1.04E-05,96.82,1.970898,3.35E-06,9.80E-06,71.16,1111,1.27E-07,301.740222
1.04E-05,96.79,1.970898,3.33E-06,9.83E-06,71.314,1111,1.26E-07,301.740222
1.04E-05,96.79,1.970898,3.28E-06,9.86E-06,71.581,1111,1.25E-07,301.779179
1.04E-05,96.79,1.970898,3.24E-06,9.88E-06,71.866,1111,1.24E-07,301.779179
1.04E-05,96.73,1.970898,3.23E-06,9.89E-06,71.893,1111,1.24E-07,301.779179
1.04E-05,96.73,1.970898,3.29E-06,9.84E-06,71.499,1111,1.24E-07,301.779179
1.04E-05,96.73,1.968852,3.37E-06,9.82E-06,71.078,1111,1.23E-07,301.779179
1.04E-05,96.7,1.968852,3.43E-06,9.84E-06,70.767,1111,1.22E-07,301.813675
1.04E-05,96.7,1.968852,3.44E-06,9.82E-06,70.718,1111,1.20E-07,301.813675
1.03E-05,96.7,1.968852,3.42E-06,9.75E-06,70.663,1111,1.18E-07,301.813675
1.03E-05,96.7,1.968852,3.40E-06,9.72E-06,70.705,1111,1.17E-07,301.813675
1.03E-05,96.64,1.955991,3.37E-06,9.76E-06,70.952,1111,1.16E-07,301.813675
1.04E-05,96.64,1.955991,3.37E-06,9.79E-06,71.036,1111,1.15E-07,301.846386
1.03E-05,96.64,1.955991,3.36E-06,9.79E-06,71.052,1111,1.14E-07,301.846386
1.03E-05,96.61,1.955991,3.29E-06,9.74E-06,71.316,1111,1.13E-07,301.846386
1.02E-05,96.61,1.954982,3.19E-06,9.64E-06,71.673,1111,1.12E-07,301.846386
1.01E-05,96.55,1.954982,3.18E-06,9.60E-06,71.643,1111,1.13E-07,301.880287
1.02E-05,96.55,1.954982,3.28E-06,9.66E-06,71.226,1111,1.13E-07,301.880287
1.03E-05,96.55,1.954982,3.37E-06,9.76E-06,70.972,1111,1.12E-07,301.880287
1.04E-05,96.52,1.954982,3.40E-06,9.80E-06,70.86,1111,1.10E-07,301.880287
1.04E-05,96.52,1.959947,3.40E-06,9.85E-06,70.952,1111,1.10E-07,301.880287
1.05E-05,96.52,1.959947,3.39E-06,9.90E-06,71.114,1111,1.09E-07,301.919244
1.04E-05,96.52,1.959947,3.36E-06,9.89E-06,71.255,1111,1.08E-07,301.919244
1.04E-05,96.47,1.959947,3.36E-06,9.89E-06,71.241,1111,1.08E-07,301.919244
1.05E-05,96.47,1.959947,3.36E-06,9.91E-06,71.267,1111,1.08E-07,301.919244
1.04E-05,96.47,1.966121,3.35E-06,9.90E-06,71.329,1111,1.08E-07,301.950766
1.05E-05,96.42,1.966121,3.36E-06,9.93E-06,71.293,1111,1.08E-07,301.950766
1.05E-05,96.42,1.966121,3.37E-06,9.91E-06,71.232,1111,1.07E-07,301.950766
1.05E-05,96.42,1.966121,3.39E-06,9.89E-06,71.099,1111,1.06E-07,301.950766
1.04E-05,96.39,1.966121,3.39E-06,9.86E-06,71.038,1111,1.05E-07,301.950766
1.04E-05,96.39,1.956259,3.33E-06,9.82E-06,71.27,1111,1.05E-07,301.987641
1.04E-05,96.39,1.956259,3.26E-06,9.83E-06,71.671,1111,1.05E-07,301.987641
1.04E-05,96.33,1.956259,3.25E-06,9.85E-06,71.754,1111,1.06E-07,301.987641
1.04E-05,96.33,1.956259,3.28E-06,9.84E-06,71.544,1111,1.06E-07,301.987641
1.03E-05,96.33,1.956259,3.30E-06,9.81E-06,71.392,1111,1.06E-07,301.987641
1.04E-05,96.3,1.965212,3.30E-06,9.82E-06,71.428,1111,1.07E-07,302.020055
1.04E-05,96.3,1.965212,3.30E-06,9.85E-06,71.487,1111,1.06E-07,302.020055
1.04E-05,96.3,1.965212,3.30E-06,9.82E-06,71.447,1111,1.06E-07,302.020055
1.03E-05,96.25,1.965212,3.31E-06,9.77E-06,71.3,1111,1.06E-07,302.020055
1.03E-05,96.25,1.965212,3.30E-06,9.77E-06,71.318,1111,1.05E-07,302.020055
1.03E-05,96.25,1.975486,3.29E-06,9.81E-06,71.492,1111,1.04E-07,302.053361
1.04E-05,96.22,1.975486,3.28E-06,9.83E-06,71.535,1111,1.03E-07,302.053361
1.04E-05,96.22,1.975486,3.26E-06,9.84E-06,71.652,1111,1.02E-07,302.053361
1.04E-05,96.22,1.975486,3.24E-06,9.85E-06,71.801,1111,1.02E-07,302.053361
1.04E-05,96.17,1.975486,3.21E-06,9.84E-06,71.925,1111,1.02E-07,302.087262
1.03E-05,96.17,1.973489,3.23E-06,9.81E-06,71.762,1111,1.02E-07,302.087262
1.04E-05,96.17,1.973489,3.26E-06,9.83E-06,71.64,1111,1.02E-07,302.087262
1.04E-05,96.11,1.973489,3.26E-06,9.86E-06,71.704,1111,1.01E-07,302.087262
1.03E-05,96.11,1.973489,3.28E-06,9.80E-06,71.482,1111,9.95E-08,302.087262
1.03E-05,96.11,1.973489,3.30E-06,9.74E-06,71.271,1111,9.85E-08,302.121163
1.03E-05,96.08,1.987638,3.38E-06,9.69E-06,70.767,1111,9.62E-08,302.121163
1.03E-05,96.08,1.987638,3.40E-06,9.68E-06,70.669,1111,9.44E-08,302.121163
1.03E-05,96.08,1.987638,3.38E-06,9.74E-06,70.851,1111,9.33E-08,302.121163
1.03E-05,96.03,1.987638,3.33E-06,9.78E-06,71.183,1111,9.22E-08,302.15328
1.04E-05,96.03,1.987638,3.33E-06,9.80E-06,71.235,1111,9.09E-08,302.15328
1.04E-05,96.03,1.988199,3.36E-06,9.83E-06,71.14,1111,8.98E-08,302.15328
1.04E-05,96,1.988199,3.38E-06,9.82E-06,71.018,1111,8.95E-08,302.15328
1.04E-05,96,1.988199,3.42E-06,9.82E-06,70.815,1111,8.95E-08,302.15328
1.04E-05,96,1.988199,3.43E-06,9.82E-06,70.734,1111,8.96E-08,302.18391
1.03E-05,95.95,1.988199,3.38E-06,9.76E-06,70.9,1111,8.98E-08,302.18391
1.02E-05,95.95,1.991607,3.32E-06,9.69E-06,71.118,1111,8.97E-08,302.18391
1.02E-05,95.95,1.991607,3.31E-06,9.65E-06,71.07,1111,8.96E-08,302.18391
1.02E-05,95.95,1.991607,3.34E-06,9.60E-06,70.818,1111,8.95E-08,302.18391
1.02E-05,95.92,1.991607,3.33E-06,9.61E-06,70.879,1111,8.94E-08,302.216324
1.02E-05,95.92,1.991607,3.32E-06,9.67E-06,71.073,1111,8.94E-08,302.216324
1.03E-05,95.87,1.993484,3.29E-06,9.75E-06,71.363,1111,8.92E-08,302.216324
1.03E-05,95.87,1.993484,3.27E-06,9.79E-06,71.549,1111,8.90E-08,302.216324
1.03E-05,95.87,1.993484,3.24E-06,9.83E-06,71.773,1111,8.84E-08,302.246954
1.04E-05,95.87,1.993484,3.23E-06,9.84E-06,71.811,1111,8.66E-08,302.246954
1.04E-05,95.82,1.993484,3.27E-06,9.85E-06,71.617,1111,8.37E-08,302.246954
1.03E-05,95.82,1.986776,3.31E-06,9.77E-06,71.281,1111,8.20E-08,302.246954
1.03E-05,95.82,1.986776,3.34E-06,9.70E-06,71.001,1111,8.15E-08,302.246954
1.02E-05,95.79,1.986776,3.37E-06,9.68E-06,70.809,1111,8.15E-08,302.278179
1.03E-05,95.79,1.986776,3.35E-06,9.73E-06,71.01,1111,8.13E-08,302.278179
1.04E-05,95.79,1.986776,3.36E-06,9.79E-06,71.091,1111,8.11E-08,302.278179
1.03E-05,95.74,1.986811,3.35E-06,9.76E-06,71.052,1111,8.08E-08,302.278179
1.03E-05,95.74,1.986811,3.39E-06,9.74E-06,70.823,1111,8.07E-08,302.308214
1.03E-05,95.74,1.986811,3.41E-06,9.75E-06,70.723,1111,8.09E-08,302.308214
1.03E-05,95.72,1.986811,3.39E-06,9.77E-06,70.841,1111,8.07E-08,302.308214
1.04E-05,95.72,1.986811,3.38E-06,9.82E-06,71.027,1111,7.96E-08,302.308214
1.04E-05,95.72,1.988267,3.30E-06,9.84E-06,71.442,1111,7.82E-08,302.308214
1.03E-05,95.66,1.988267,3.29E-06,9.80E-06,71.457,1111,7.65E-08,302.340331
1.03E-05,95.66,1.988267,3.31E-06,9.75E-06,71.275,1111,7.40E-08,302.340331
1.03E-05,95.66,1.988267,3.34E-06,9.75E-06,71.089,1111,7.09E-08,302.340331
1.04E-05,95.64,1.988267,3.40E-06,9.79E-06,70.856,1111,6.89E-08,302.340331
1.04E-05,95.64,1.98997,3.42E-06,9.82E-06,70.781,1111,6.87E-08,302.340331
1.04E-05,95.64,1.98997,3.39E-06,9.82E-06,70.927,1111,6.89E-08,302.370366
1.04E-05,95.59,1.98997,3.39E-06,9.80E-06,70.929,1111,6.91E-08,302.370366
1.04E-05,95.59,1.98997,3.35E-06,9.81E-06,71.143,1111,6.90E-08,302.370366
1.03E-05,95.59,1.98997,3.34E-06,9.79E-06,71.185,1111,6.87E-08,302.370366
1.03E-05,95.56,1.988495,3.32E-06,9.79E-06,71.27,1111,6.82E-08,302.397427
1.03E-05,95.56,1.988495,3.31E-06,9.78E-06,71.318,1111,6.77E-08,302.397427
1.03E-05,95.56,1.988495,3.31E-06,9.80E-06,71.318,1111,6.71E-08,302.397427
1.04E-05,95.52,1.988495,3.29E-06,9.82E-06,71.452,1111,6.70E-08,302.397427
1.03E-05,95.52,1.988495,3.26E-06,9.80E-06,71.621,1111,6.72E-08,302.397427
1.03E-05,95.52,1.990845,3.26E-06,9.80E-06,71.602,1111,6.76E-08,302.427462
1.03E-05,95.47,1.990845,3.24E-06,9.76E-06,71.626,1111,6.78E-08,302.427462
1.02E-05,95.47,1.990845,3.19E-06,9.73E-06,71.851,1111,6.85E-08,302.427462
1.02E-05,95.47,1.990845,3.16E-06,9.75E-06,72.051,1111,7.01E-08,302.427462
1.03E-05,95.44,1.987243,3.21E-06,9.80E-06,71.878,1111,7.13E-08,302.456308
1.04E-05,95.44,1.987243,3.30E-06,9.83E-06,71.441,1111,7.07E-08,302.456308
1.04E-05,95.44,1.987243,3.32E-06,9.83E-06,71.331,1111,6.99E-08,302.456308
1.04E-05,95.39,1.987243,3.36E-06,9.82E-06,71.095,1111,6.78E-08,302.456308
1.03E-05,95.39,1.987243,3.36E-06,9.78E-06,71.062,1111,6.61E-08,302.456308
1.03E-05,95.39,1.984651,3.29E-06,9.76E-06,71.38,1111,6.54E-08,302.485153
1.02E-05,95.39,1.984651,3.24E-06,9.70E-06,71.539,1111,6.57E-08,302.485153
1.02E-05,95.37,1.984651,3.22E-06,9.70E-06,71.62,1111,6.62E-08,302.485153
1.03E-05,95.37,1.984651,3.22E-06,9.73E-06,71.671,1111,6.68E-08,302.485153
1.03E-05,95.37,1.984651,3.25E-06,9.79E-06,71.619,1111,6.73E-08,302.485153
1.04E-05,95.32,1.981206,3.29E-06,9.81E-06,71.454,1111,6.74E-08,302.512215
1.03E-05,95.32,1.981206,3.30E-06,9.79E-06,71.395,1111,6.73E-08,302.512215
1.04E-05,95.32,1.981206,3.32E-06,9.82E-06,71.33,1111,6.73E-08,302.512215
1.04E-05,95.3,1.981206,3.32E-06,9.85E-06,71.378,1111,6.71E-08,302.512215
1.04E-05,95.3,1.981206,3.32E-06,9.84E-06,71.359,1111,6.60E-08,302.541358
1.04E-05,95.3,1.98074,3.34E-06,9.87E-06,71.287,1111,6.34E-08,302.541358
1.04E-05,95.25,1.98074,3.35E-06,9.87E-06,71.252,1111,6.02E-08,302.541358
1.04E-05,95.25,1.98074,3.35E-06,9.82E-06,71.179,1111,5.90E-08,302.541358
1.03E-05,95.25,1.98074,3.36E-06,9.74E-06,70.951,1111,5.89E-08,302.541358
1.03E-05,95.2,1.98074,3.34E-06,9.74E-06,71.089,1111,5.90E-08,302.565148
1.03E-05,95.2,1.980178,3.32E-06,9.73E-06,71.152,1111,5.90E-08,302.565148
1.03E-05,95.2,1.980178,3.36E-06,9.72E-06,70.938,1111,5.91E-08,302.565148
1.03E-05,95.18,1.980178,3.36E-06,9.74E-06,70.993,1111,5.92E-08,302.565148
1.03E-05,95.18,1.980178,3.34E-06,9.78E-06,71.139,1111,5.92E-08,302.565148
1.03E-05,95.18,1.980178,3.37E-06,9.75E-06,70.938,1111,5.92E-08,302.591615
1.03E-05,95.14,1.983713,3.38E-06,9.73E-06,70.832,1111,5.94E-08,302.591615
1.03E-05,95.14,1.983713,3.38E-06,9.77E-06,70.917,1111,5.97E-08,302.591615
1.04E-05,95.14,1.983713,3.36E-06,9.82E-06,71.104,1111,5.99E-08,302.591615
1.04E-05,95.11,1.983713,3.30E-06,9.86E-06,71.483,1111,6.00E-08,302.618081
1.04E-05,95.11,1.983713,3.28E-06,9.88E-06,71.652,1111,6.00E-08,302.618081
1.04E-05,95.11,1.980018,3.29E-06,9.88E-06,71.571,1111,6.00E-08,302.618081
1.04E-05,95.11,1.980018,3.30E-06,9.90E-06,71.575,1111,5.91E-08,302.618081
1.04E-05,95.07,1.980018,3.32E-06,9.87E-06,71.435,1111,5.78E-08,302.618081
1.03E-05,95.07,1.980018,3.30E-06,9.81E-06,71.392,1111,5.71E-08,302.643061
1.03E-05,95.07,1.980018,3.29E-06,9.76E-06,71.399,1111,5.67E-08,302.643061
1.03E-05,95.05,1.974126,3.28E-06,9.79E-06,71.482,1111,5.65E-08,302.643061
1.04E-05,95.05,1.974126,3.28E-06,9.83E-06,71.549,1111,5.62E-08,302.643061
1.04E-05,95.05,1.974126,3.31E-06,9.90E-06,71.504,1111,5.59E-08,302.666851
1.04E-05,95.01,1.974126,3.34E-06,9.89E-06,71.339,1111,5.56E-08,302.666851
1.04E-05,95.01,1.974126,3.35E-06,9.90E-06,71.298,1111,5.54E-08,302.666851
1.04E-05,95.01,1.97468,3.34E-06,9.88E-06,71.303,1111,5.50E-08,302.666851
1.04E-05,94.98,1.97468,3.39E-06,9.84E-06,70.996,1111,5.47E-08,302.666851
1.04E-05,94.98,1.97468,3.40E-06,9.84E-06,70.951,1111,5.45E-08,302.6954
1.04E-05,94.98,1.97468,3.41E-06,9.85E-06,70.895,1111,5.39E-08,302.6954
1.04E-05,94.94,1.97468,3.43E-06,9.86E-06,70.84,1111,5.31E-08,302.6954
1.05E-05,94.94,1.965577,3.41E-06,9.90E-06,70.986,1111,5.25E-08,302.6954
1.05E-05,94.94,1.965577,3.38E-06,9.91E-06,71.18,1111,5.21E-08,302.6954
1.04E-05,94.9,1.965577,3.36E-06,9.89E-06,71.235,1111,5.16E-08,302.715621
1.04E-05,94.9,1.965577,3.33E-06,9.85E-06,71.334,1111,5.11E-08,302.715621
1.04E-05,94.9,1.965577,3.32E-06,9.82E-06,71.339,1111,5.09E-08,302.715621
1.04E-05,94.87,1.953924,3.33E-06,9.80E-06,71.213,1111,5.09E-08,302.715621
1.04E-05,94.87,1.953924,3.34E-06,9.83E-06,71.242,1111,5.08E-08,302.738222
1.04E-05,94.87,1.953924,3.35E-06,9.84E-06,71.201,1111,5.06E-08,302.738222
1.04E-05,94.83,1.953924,3.40E-06,9.80E-06,70.863,1111,5.08E-08,302.738222
1.03E-05,94.83,1.953924,3.41E-06,9.74E-06,70.724,1111,5.13E-08,302.738222
1.03E-05,94.83,1.961527,3.35E-06,9.75E-06,71.043,1111,5.16E-08,302.738222
1.03E-05,94.81,1.961527,3.27E-06,9.81E-06,71.578,1111,5.16E-08,302.762012
1.03E-05,94.81,1.961527,3.24E-06,9.81E-06,71.734,1111,5.20E-08,302.762012
1.03E-05,94.81,1.961527,3.29E-06,9.80E-06,71.437,1111,5.19E-08,302.762012
1.04E-05,94.81,1.961527,3.38E-06,9.80E-06,70.999,1111,5.16E-08,302.762012
1.04E-05,94.76,1.956056,3.36E-06,9.88E-06,71.209,1111,5.18E-08,302.762012
1.05E-05,94.76,1.956056,3.28E-06,9.94E-06,71.74,1111,5.17E-08,302.784018
1.05E-05,94.76,1.956056,3.23E-06,9.95E-06,72.029,1111,5.22E-08,302.784018
1.04E-05,94.74,1.956056,3.21E-06,9.91E-06,72.037,1111,5.31E-08,302.784018
1.04E-05,94.74,1.956056,3.23E-06,9.92E-06,71.971,1111,5.40E-08,302.784018
1.04E-05,94.74,1.94942,3.26E-06,9.89E-06,71.739,1111,5.44E-08,302.784018
1.04E-05,94.7,1.94942,3.31E-06,9.86E-06,71.434,1111,5.43E-08,302.807511
1.04E-05,94.7,1.94942,3.33E-06,9.87E-06,71.341,1111,5.37E-08,302.807511
1.04E-05,94.7,1.94942,3.31E-06,9.89E-06,71.488,1111,5.28E-08,302.807511
1.04E-05,94.66,1.94942,3.29E-06,9.91E-06,71.632,1111,5.21E-08,302.807511
1.05E-05,94.66,1.941053,3.28E-06,9.96E-06,71.793,1111,5.20E-08,302.827138
1.05E-05,94.66,1.941053,3.29E-06,9.96E-06,71.735,1111,5.21E-08,302.827138
1.04E-05,94.64,1.941053,3.32E-06,9.91E-06,71.466,1111,5.22E-08,302.827138
1.04E-05,94.64,1.941053,3.35E-06,9.85E-06,71.191,1111,5.21E-08,302.827138
1.03E-05,94.64,1.941053,3.35E-06,9.77E-06,71.081,1111,5.22E-08,302.827138
1.03E-05,94.6,1.937916,3.32E-06,9.75E-06,71.203,1111,5.22E-08,302.850333
1.03E-05,94.6,1.937916,3.30E-06,9.78E-06,71.351,1111,5.21E-08,302.850333
1.04E-05,94.6,1.937916,3.29E-06,9.83E-06,71.485,1111,5.18E-08,302.850333
1.04E-05,94.57,1.937916,3.29E-06,9.82E-06,71.457,1111,5.14E-08,302.850333
1.03E-05,94.57,1.937916,3.31E-06,9.79E-06,71.308,1111,5.11E-08,302.850333
1.04E-05,94.57,1.934608,3.34E-06,9.86E-06,71.259,1111,5.10E-08,302.870555
1.05E-05,94.53,1.934608,3.34E-06,9.93E-06,71.38,1111,5.09E-08,302.870555
1.05E-05,94.53,1.934608,3.36E-06,9.92E-06,71.289,1111,5.09E-08,302.870555
1.04E-05,94.53,1.934608,3.36E-06,9.88E-06,71.203,1111,5.10E-08,302.870555
1.04E-05,94.53,1.934608,3.33E-06,9.85E-06,71.301,1111,5.11E-08,302.890182
1.04E-05,94.51,1.93607,3.31E-06,9.85E-06,71.413,1111,5.07E-08,302.890182
1.04E-05,94.51,1.93607,3.32E-06,9.87E-06,71.412,1111,5.01E-08,302.890182
1.04E-05,94.51,1.93607,3.31E-06,9.88E-06,71.473,1111,4.98E-08,302.890182
1.05E-05,94.47,1.93607,3.31E-06,9.95E-06,71.62,1111,4.96E-08,302.890182
1.05E-05,94.47,1.93607,3.27E-06,1.00E-05,71.954,1111,4.96E-08,302.908619
1.06E-05,94.47,1.928119,3.27E-06,1.01E-05,71.977,1111,4.98E-08,302.908619
1.06E-05,94.45,1.928119,3.32E-06,1.00E-05,71.727,1111,4.99E-08,302.908619
1.06E-05,94.45,1.928119,3.36E-06,1.00E-05,71.479,1111,4.99E-08,302.908619
1.06E-05,94.45,1.928119,3.39E-06,1.00E-05,71.325,1111,5.01E-08,302.908619
1.06E-05,94.41,1.928119,3.42E-06,1.01E-05,71.217,1111,5.07E-08,302.926759
1.06E-05,94.41,1.937287,3.42E-06,1.01E-05,71.213,1111,5.12E-08,302.926759
1.05E-05,94.41,1.937287,3.39E-06,9.98E-06,71.224,1111,5.15E-08,302.926759
1.05E-05,94.37,1.937287,3.35E-06,9.93E-06,71.382,1111,5.11E-08,302.926759
1.04E-05,94.37,1.937287,3.34E-06,9.88E-06,71.328,1111,4.97E-08,302.944602
1.04E-05,94.37,1.937287,3.31E-06,9.85E-06,71.444,1111,4.74E-08,302.944602
1.04E-05,94.35,1.961151,3.30E-06,9.86E-06,71.503,1111,4.56E-08,302.944602
1.04E-05,94.35,1.961151,3.31E-06,9.82E-06,71.378,1111,4.52E-08,302.944602
1.04E-05,94.35,1.961151,3.30E-06,9.83E-06,71.418,1111,4.52E-08,302.944602
